run_id;date;status;accepted_or_rejected;parent_run_id;main_parameter;main_from;main_to;w8_trades;w24_trades;w52_trades;w8_pnl;w24_pnl;w52_pnl;w8_spy_compare;w24_spy_compare;w52_spy_compare;notes;run_dir
EXP_1507;2026-05-03 00:55:22;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1507_260503005517
EXP_1508;2026-05-03 00:57:00;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1508_260503005658
EXP_1509;2026-05-03 00:58:41;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1509_260503005840
EXP_1510;2026-05-03 01:00:17;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1510_260503010016
EXP_1511;2026-05-03 01:01:58;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1511_260503010154
EXP_1512;2026-05-03 01:03:37;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1512_260503010336
EXP_1513;2026-05-03 01:05:13;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1513_260503010512
EXP_1514;2026-05-03 01:06:52;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1514_260503010650
EXP_1515;2026-05-03 01:08:34;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1515_260503010831
EXP_1516;2026-05-03 01:10:09;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1516_260503011008
EXP_1517;2026-05-03 01:11:48;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1517_260503011146
EXP_1518;2026-05-03 01:13:28;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1518_260503011327
EXP_1519;2026-05-03 01:15:06;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1519_260503011504
EXP_1520;2026-05-03 01:16:45;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1520_260503011642
EXP_1521;2026-05-03 01:18:25;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1521_260503011824
EXP_1522;2026-05-03 01:20:03;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1522_260503012001
EXP_1523;2026-05-03 01:21:44;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1523_260503012139
EXP_1524;2026-05-03 01:23:22;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1524_260503012321
EXP_1525;2026-05-03 01:25:03;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1525_260503012502
EXP_1526;2026-05-03 01:26:42;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1526_260503012640
EXP_1527;2026-05-03 01:28:24;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1527_260503012822
EXP_1528;2026-05-03 01:30:00;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1528_260503012959
EXP_1529;2026-05-03 01:31:38;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1529_260503013136
EXP_1530;2026-05-03 01:33:14;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1530_260503013313
EXP_1531;2026-05-03 01:34:53;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1531_260503013451
EXP_1532;2026-05-03 01:36:29;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1532_260503013627
EXP_1533;2026-05-03 01:38:06;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1533_260503013804
EXP_1534;2026-05-03 01:39:43;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1534_260503013942
EXP_1535;2026-05-03 01:41:21;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1535_260503014118
EXP_1536;2026-05-03 01:43:02;blocked_no_material_candidate;rejected;EXP_392;;;;;;;;;;;;;No existen candidatos materiales validos luego de agotar capa 1 y capa 2. Ver fallback_candidate_pool_considered para trazabilidad.;C:\Pythons\ML-Trading\Base_Archivos_SPY\runs\multi_agent_runs\EXP_1536_260503014258
